Day,Date,Nutrition Phase,Weight,Fat Mass,Muscle Mass,Calories Target,Calories Actual,Calories %,Protein Target,Protein Actual,Protein %,Fat Target,Fat Actual,Fat %,Carbs Target,Carbs Actual,Carbs %
1,2026-07-11,Phase 1,79.8,16.2,60.5,1900.0,1843.7,97.0,160,160.1,100.1,56,56.6,101.1,189,161.7,85.6
2,2026-07-12,Phase 1,80.0,15.91,60.9,2282.0,1927.8,84.5,160,170.7,106.7,56,58.1,103.8,284,165.9,58.4
3,2026-07-13,Phase 1,80.7,15.66,61.85,2100.0,1968.8,93.8,161,145.9,90.6,56,52.2,93.2,238,226.0,95.0
4,2026-07-14,Phase 1,81.0,17.5,60.35,1900.0,1837.7,96.7,162,171.5,105.9,57,18.7,32.8,185,235.0,127.0
5,2026-07-15,Phase 1,80.8,15.42,62.1,2284.0,2102.8,92.1,162,155.3,95.9,57,36.2,63.5,281,293.3,104.4
6,2026-07-16,Phase 1,81.0,16.59,61.2,2305.0,2376.0,103.1,162,194.7,120.2,57,45.9,80.5,286,292.3,102.2
7,2026-07-17,Phase 1,81.0,17.98,59.85,2064.0,1915.3,92.8,162,201.4,124.3,57,57.8,101.4,226,137.6,60.9
8,2026-07-18,Phase 1,81.0,15.87,61.8,1900.0,589.1,31.0,162,40.5,25.0,57,14.4,25.3,185,70.8,38.3
